n;ordenada;montagem_ms;busca_tel_ms;busca_nome_ms;remocao_ms;achouTel;achouNome;removeu
25000;false;32.4520;4.9354;2.7864;2.2511;true;true;true
25000;false;40.2929;5.2112;2.6908;2.8192;true;true;true
25000;false;34.3087;4.9966;2.2896;1.9110;true;true;true
50000;false;47.5039;5.9655;1.9644;3.8703;true;true;true
50000;false;42.0432;6.4267;2.0174;3.6664;true;true;true
50000;false;42.0115;7.7556;2.0222;3.3588;true;true;true
100000;false;74.9299;8.5009;7.0445;6.5878;true;true;true
100000;false;72.3180;8.7102;7.0650;6.3341;true;true;true
100000;false;73.6378;8.6295;4.2635;8.1377;true;true;true
200000;false;101.6529;12.7179;4.1630;8.3934;true;true;true
200000;false;114.5210;13.2437;6.3428;8.4601;true;true;true
200000;false;102.0261;12.8967;4.7416;8.5670;true;true;true
400000;false;166.1647;13.6594;5.8963;11.0739;true;true;true
400000;false;168.4764;14.6697;6.3665;11.4476;true;true;true
400000;false;172.1621;15.2430;8.8429;10.2114;true;true;true
25000;true;5231.9024;0.8865;0.5726;1.0244;true;true;true
25000;true;5248.5447;1.0555;0.8285;1.1405;true;true;true
25000;true;5424.9858;0.9852;0.6942;1.2095;true;true;true
50000;true;51122.2739;3.1330;5.5196;3.1736;true;true;true
50000;true;61232.2041;1.3305;3.3865;1.4583;true;true;true
50000;true;57767.4853;1.8290;3.7711;2.2590;true;true;true
100000;true;261409.7193;10.4721;5.0020;10.1452;true;true;true
200000;true;1204511.5441;19.8082;13.2169;20.0849;true;true;true
